,country,gross_rental_yield_outside_of_centre,city_name,price_to_rent_ratio_outside_of_centre,house_price_to_income_ratio,affordability_index,mortgage_as_percentage_of_income,price_to_rent_ratio_city_centre,gross_rental_yield_city_centre,city_id
460,United States,13.189499053189122,"Charlotte, NC",7.581789088177747,3.005832683129334,4.694568872713641,21.301210550181185,10.531552836322446,9.495275915542898,3403
461,United States,11.029749381210447,"Anchorage, AK",9.066389139390003,2.9902704002980665,4.48591803968561,22.291981065041565,12.940300855556835,7.7277955988989175,3389
462,United States,13.575484781672841,"Fresno, CA",7.366219446910792,2.9752857447010306,4.507189047583235,22.186777378157732,11.356905134750116,8.805215753191224,3420
463,United States,16.513060782775348,"Fort Worth, TX",6.05581250595948,2.974726287732248,4.573522254091362,21.86498598766901,13.461158878996587,7.428780902068525,3418
464,United States,18.164269058876403,"Jacksonville, FL",5.505313738519669,2.950612524271241,4.634179338381901,21.57879371904425,13.142291976953695,7.609022853499211,3435
466,United States,14.900202993816903,"Des Moines, IA",6.711317962681228,2.867916655721839,4.827597118096221,20.71423889643785,12.776958687786522,7.826588661947374,3413
467,United States,14.094801648536142,"Gainesville, FL",7.0948142793045825,2.835995963223309,4.651759813524245,21.49724061617843,7.476290102350281,13.375617937640428,9782
468,United States,15.661757164180093,"Durham, NC",6.384979600418616,2.789181367346338,4.848119144306617,20.626555788637102,8.778779478798613,11.39110513500279,3415
469,United States,17.062711757315377,"Grand Rapids, MI",5.860733125092295,2.766929052387765,4.789111685101156,20.880699088955947,10.164401244849095,9.838257816777542,3423
470,United States,21.14919253960327,"Pittsburgh, PA",4.728312904274872,2.74634222240135,5.1235129133687165,19.517858487107798,11.318003786693621,8.8354803448262,3467
472,United States,21.091678297260614,"Birmingham, AL",4.741206393850033,2.7172338023751186,5.070266421825817,19.722829468986706,10.967973691148364,9.117454400962357,3398
473,United States,18.31139609131312,"Oklahoma City, OK",5.461080056448549,2.6510212878774038,5.124765220341992,19.513089029535422,11.00821474168072,9.084125114435416,3460
474,United States,9.757023696126522,"Omaha, NE",10.249027071616048,2.577008296460177,5.456847945347503,18.32559767131862,8.719840895381433,11.468099154534597,3461
475,United States,15.705832790071137,"San Antonio, TX",6.367061290963041,2.5694658235898022,5.111646525767026,19.563168050825766,7.890557085417671,12.673376406439965,3480
476,United States,20.25960258039425,"Louisville, KY",4.935930979059413,2.5414290091184175,5.429926516735989,18.416455488261654,11.921039906523326,8.388529925588026,3443
477,United States,20.596403316342023,"Chattanooga, TN",4.855216634870222,2.53620430341834,5.438743933072395,18.386598308464414,7.85468325087381,12.731258130475892,8438
479,United States,19.459928899617978,"Baltimore, MD",5.138764921282067,2.5236306422461987,5.476962552701685,18.258295366776213,8.156521950046937,12.260127614739583,3396
480,United States,21.53957947175552,"Cincinnati, OH",4.642616172294742,2.49177660287253,5.592903107585853,17.879801969815365,9.45098505066698,10.580907647604706,3406
481,United States,14.822880949806136,"Columbus, OH",6.746326867133604,2.416049228646935,5.584186948274265,17.907709918433866,11.636574736143068,8.593594100281171,3409
483,United States,15.584146810546223,"Greensboro, NC",6.416777332482984,2.3720060222349977,5.624890160715491,17.778124930937302,7.964720172758351,12.555368905743725,3424
484,United States,20.213011752176698,"Columbia, SC",4.947308259949496,2.3652274589971416,5.810554873916549,17.210060341895705,8.620361568093958,11.600441490775069,7608
485,United States,16.393678428754683,"El Paso, TX",6.099912257922479,2.3645610822280876,5.6432921812709,17.720152844802634,12.982350592397218,7.702765326532042,3416
486,United States,19.510115130773265,"Hartford, CT",5.125546380926794,2.349596558910126,5.570410554745239,17.95199815475243,5.021444082960553,19.914589976085487,7589
487,United States,16.655889758985467,"Plano, TX",6.003882197049984,2.316485988531895,5.7410759920241174,17.418337631992088,11.260641779439391,8.880488515546979,3468
488,United States,19.89324675633166,"Wichita, KS",5.026831528552362,2.314817133323835,5.8809488820182105,17.004058699738643,11.263975086203136,8.877860545207227,3498
489,United States,17.384510559749973,"Little Rock, AR",5.752247073985972,2.2810019302630002,5.701480062804832,17.539305390608558,12.880045856881438,7.7639475131661015,3440
490,United States,23.493779749408432,"Tulsa, OK",4.256445794019925,2.2784857424079132,5.992000479085789,16.688917223727792,11.116598934725536,8.995557057260063,3495
491,United States,24.35434294999074,"Kansas City, MO",4.10604384627991,2.276675392670645,5.965938235006031,16.761822878627054,11.119287542094026,8.993381960978377,3437
492,United States,13.697690800496598,"Lexington, KY",7.30050060674275,2.2692032112697507,6.17464390073335,16.195265930740266,10.297203849223708,9.711374220054784,8014
493,United States,14.319922441395793,"Dallas, TX",6.983278045621368,2.2617634234406343,6.067884486162785,16.4802082551242,8.631272313195067,11.585777434819764,3411
494,United States,13.797287392370963,"Greenville, SC",7.247801481274771,2.2493912793194,5.724384850614378,17.46912596019245,7.884126005094197,12.683714077551103,7724
495,United States,16.156077051925802,"Houston, TX",6.1896213838668235,2.218088178333864,6.378191598361098,15.678425217846295,8.940852935828177,11.184615239478509,3428
496,United States,16.57309311065107,"Huntsville, AL",6.033876677838295,2.1382153146969776,6.375870541690276,15.68413275428417,8.974287309326948,11.142946125211562,7822
497,United States,17.745711314459044,"Indianapolis, IN",5.635164363263416,2.11736137848187,6.503271169764625,15.376876865434372,9.445604361737693,10.58693506209942,3431
498,United States,26.216944263685832,"Buffalo, NY",3.814327062460674,2.009661008320319,6.740973586377034,14.834652401263218,9.470187437796339,10.559453089691903,3402
