city_id,health_care_index,crime_index,restaurant_price_index,climate_index,pollution_index,quality_of_life_index,cpi_index,property_price_to_income_ratio,purchasing_power_incl_rent_index,traffic_index,median,mean,std_dev,sum_w
3483,65.166,56.294,91.098,97.258,47.54,155.724,93.85600000000001,7.903,125.04299999999999,256.582,82929.0,98645.0,77710.0,435.0801444
3484,73.23100000000001,46.526,77.265,95.52600000000001,46.006,177.983,78.125,6.377999999999999,135.064,182.71900000000002,300000.0,72253.0,52352.0,157.52793390000002
3485,54.443999999999996,47.193000000000005,67.649,96.786,50.0,153.346,78.671,5.377999999999999,98.70100000000001,194.173,113437.0,121173.0,80521.0,293.30487769999996
3486,72.917,24.129,78.745,53.691,31.165,78.45,35.496,5.558,50.492,120.03200000000001,92369.0,100189.0,60149.0,201.2523766
3487,73.491,49.108999999999995,85.46700000000001,91.73200000000001,28.631999999999998,180.63099999999997,88.01299999999999,5.101,122.473,189.293,28154.0,38873.0,29112.0,649.0427975
3489,63.655,54.473,70.908,67.115,19.746,168.03400000000002,72.703,5.475,88.02600000000001,114.26100000000001,54422.0,65182.0,49593.0,852.2345752
3490,62.731,77.721,79.529,85.84299999999999,67.205,128.616,76.696,4.713,92.211,147.482,38763.0,45384.0,31249.0,2121.733625
3491,73.187,51.333999999999996,69.306,90.87700000000001,31.859,161.735,77.40899999999999,7.337999999999999,91.3,221.15400000000002,40623.0,49974.0,35466.0,2219.88665
3492,68.638,49.23,68.406,84.666,29.941999999999997,173.192,78.577,3.353,103.04899999999999,173.187,62089.0,72435.0,55424.0,4970.945012
3493,54.63,61.153999999999996,60.985,68.781,44.349,140.017,64.628,1.615,90.728,222.296,29178.0,34042.0,23659.0,739.4390579
3494,59.04600000000001,50.522,62.015,72.66,26.153000000000002,168.292,66.428,3.1489999999999996,93.906,130.929,50113.0,61934.0,48909.0,1720.196113
3495,67.791,51.346000000000004,54.798,79.301,29.355999999999998,183.817,62.416000000000004,2.278,110.355,107.037,52837.0,76468.0,71928.0,427.61345300000005
3496,69.775,42.22,74.518,87.194,21.826999999999998,78.45,35.496,5.71,50.492,112.397,57119.0,64304.0,41241.0,814.1007053
3497,70.627,57.668,79.943,81.616,39.184,161.293,83.45299999999999,5.003,111.31200000000001,189.935,71044.0,92477.0,76702.0,129368.5993
3498,62.698,50.743,57.797,70.473,23.47,179.843,60.364,2.315,104.10600000000001,103.829,51201.0,56322.0,42786.0,373.8527818
